0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
1,4,6,28,22,13,9,8,2,2,2,5,4,3,2,26,25,33,30,26,16,32,36,17,15,23,14,5,9,9,2,2,4,2,2,1,2,3,3,2,2,3,2,4,27,8,8,11,11,6,8,20,7,11,9,5,6,4,2,10,2,3,5,10,1,1,1,1,1,2,2,2,3,2,2,5,4,4,4,5,7,2,3,2,3,2,2,3,4,5,2,2,2,2,1
4,1,8,30,24,15,11,10,4,3,4,8,7,6,5,28,27,35,32,28,18,34,38,19,17,25,16,7,11,11,4,4,6,4,4,4,4,5,5,4,4,5,4,6,28,10,10,13,13,8,10,22,9,13,11,7,8,6,4,13,4,5,7,12,4,4,4,4,4,4,4,3,3,4,3,7,6,6,6,7,9,4,6,4,5,4,4,5,6,7,4,4,4,4,4
6,8,1,31,25,16,12,11,6,6,6,10,9,8,7,30,29,35,34,30,20,36,40,21,19,26,18,9,13,13,6,6,8,6,6,6,6,7,7,6,6,7,6,8,27,11,12,15,15,10,12,23,11,15,13,9,10,8,6,15,6,7,9,14,6,6,6,6,6,6,6,6,7,6,6,9,8,8,8,9,6,6,8,6,7,6,6,7,8,9,6,6,6,6,6
28,30,31,1,29,29,27,27,28,28,28,32,31,30,29,48,47,54,53,49,42,57,61,42,37,43,38,27,33,35,28,28,30,28,28,28,28,29,29,28,28,29,28,30,46,34,32,35,35,30,32,40,31,32,32,29,29,29,28,37,28,29,31,36,28,28,28,28,28,28,28,28,29,28,28,31,30,30,30,31,31,28,30,28,29,28,28,29,30,29,28,28,28,28,28
22,24,25,29,1,23,21,21,22,22,22,26,25,24,23,42,41,48,47,43,36,51,55,36,31,38,33,21,27,29,22,22,24,22,22,22,22,23,23,22,22,23,22,24,41,28,27,30,30,25,27,35,26,27,27,24,24,23,22,31,22,23,25,30,22,22,22,22,22,22,22,22,23,22,22,25,24,24,24,25,25,22,24,22,23,22,22,23,24,24,22,22,22,22,22
13,15,16,29,23,1,13,12,13,13,13,17,16,15,14,35,34,41,40,36,27,42,46,27,23,30,24,13,19,20,13,13,15,13,13,13,13,14,14,13,13,14,13,15,33,19,19,22,22,17,19,27,18,19,20,16,16,15,13,22,13,14,16,21,13,13,13,13,13,13,13,13,14,13,13,16,15,15,15,16,17,13,15,13,14,13,13,14,15,16,13,13,13,13,13
9,11,12,27,21,13,1,8,9,9,9,13,12,11,10,31,30,37,36,32,23,38,42,23,19,26,20,9,15,16,9,9,11,9,9,9,9,10,10,9,9,10,9,11,30,15,15,18,18,13,15,23,14,15,16,12,12,11,9,18,9,10,12,17,9,9,9,9,9,9,9,9,10,9,9,12,11,11,11,12,13,9,11,9,10,9,9,10,11,12,9,9,9,9,9
8,10,11,27,21,12,8,1,8,8,8,12,11,10,9,30,29,36,35,31,22,37,41,22,18,25,19,8,14,15,8,8,10,8,8,8,8,9,9,8,8,9,8,10,29,14,14,17,17,12,14,22,13,14,15,11,11,10,8,17,8,9,11,16,8,8,8,8,8,8,8,8,9,8,8,11,10,10,10,11,12,8,10,8,9,8,8,9,10,11,8,8,8,8,8
2,4,6,28,22,13,9,8,1,2,2,6,5,4,3,26,25,33,30,26,16,32,36,17,15,23,14,5,9,9,2,2,4,2,2,2,2,3,3,2,2,3,2,4,27,8,8,11,11,6,8,20,7,11,9,5,6,4,2,11,2,3,5,10,2,2,2,2,2,2,2,2,3,2,2,5,4,4,4,5,7,2,4,2,3,2,2,3,4,5,2,2,2,2,2
2,3,6,28,22,13,9,8,2,1,2,6,5,4,3,26,25,33,30,26,16,32,36,17,15,23,14,5,9,9,2,2,4,2,2,2,2,3,3,2,2,3,2,4,27,8,8,11,11,6,8,20,7,11,9,5,6,4,2,11,2,3,5,10,2,2,2,2,2,2,2,1,2,2,2,5,4,4,4,5,7,2,4,2,3,2,2,3,4,5,2,2,2,2,2
2,4,6,28,22,13,9,8,2,2,1,6,5,4,3,26,25,33,30,26,16,32,36,17,15,23,14,5,9,9,2,2,4,2,2,2,2,3,3,2,2,3,2,4,27,8,8,11,11,6,8,20,7,11,9,5,6,4,2,11,2,3,5,10,2,2,2,2,2,2,2,2,3,2,2,5,4,4,4,5,7,2,4,2,3,2,2,3,4,5,2,2,2,2,2
5,8,10,32,26,17,13,12,6,6,6,1,5,7,5,30,29,37,33,30,20,36,40,21,19,27,18,9,13,13,6,6,8,6,6,5,6,7,7,6,6,7,6,8,31,12,12,15,15,10,12,24,11,15,13,9,10,8,6,14,6,7,9,14,5,5,5,5,5,6,6,6,7,6,6,9,8,8,8,9,11,6,7,6,7,6,6,7,8,9,6,6,6,6,5
4,7,9,31,25,16,12,11,5,5,5,5,1,6,4,29,28,36,33,29,19,35,39,20,18,26,17,8,12,12,5,5,7,5,5,4,5,6,6,5,5,6,5,7,30,11,11,14,14,9,11,23,10,14,12,8,9,7,5,13,5,6,8,13,4,4,4,4,4,5,5,5,6,5,5,8,7,7,7,8,10,5,6,5,6,5,5,6,7,8,5,5,5,5,4
3,6,8,30,24,15,11,10,4,4,4,7,6,1,4,28,27,35,32,28,18,34,38,19,17,25,16,7,11,11,4,4,6,4,4,3,4,5,5,4,4,5,4,6,29,10,10,13,13,8,10,22,9,13,11,7,8,6,4,12,4,5,7,12,3,3,3,3,3,4,4,4,5,4,4,7,6,6,6,7,9,4,5,4,5,4,4,5,6,7,4,4,4,4,3
2,5,7,29,23,14,10,9,3,3,3,5,4,4,1,27,26,34,31,27,17,33,37,18,16,24,15,6,10,10,3,3,5,3,3,2,3,4,4,3,3,4,3,5,28,9,9,12,12,7,9,21,8,12,10,6,7,5,3,11,3,4,6,11,2,2,2,2,2,3,3,3,4,3,3,6,5,5,5,6,8,3,4,3,4,3,3,4,5,6,3,3,3,3,2
26,28,30,48,42,35,31,30,26,26,26,30,29,28,27,1,25,33,37,33,30,50,54,35,36,44,37,26,31,33,26,26,28,26,26,26,26,27,27,26,26,27,26,28,47,31,29,33,33,28,30,36,29,31,31,27,27,26,26,34,26,27,29,34,26,26,26,26,26,26,26,26,27,26,26,29,28,28,28,29,30,26,28,26,27,26,26,27,28,29,26,26,26,26,26
25,27,29,47,41,34,30,29,25,25,25,29,28,27,26,25,1,32,37,33,30,49,53,34,35,43,36,25,30,32,25,25,27,25,25,25,25,26,26,25,25,26,25,27,46,30,28,32,32,27,29,35,28,30,30,26,26,25,25,33,25,26,28,33,25,25,25,25,25,25,25,25,26,25,25,28,27,27,27,28,29,25,27,25,26,25,25,26,27,28,25,25,25,25,25
33,35,35,54,48,41,37,36,33,33,33,37,36,35,34,33,32,1,45,41,38,55,60,42,42,49,43,33,38,40,33,33,35,33,33,33,33,34,34,33,33,34,33,35,52,38,36,40,40,35,37,42,36,38,38,34,34,33,33,41,33,34,36,41,33,33,33,33,33,33,33,33,34,33,33,36,35,35,35,36,35,33,35,33,34,33,33,34,35,36,33,33,33,33,33
30,32,34,53,47,40,36,35,30,30,30,33,33,32,31,37,37,45,1,29,29,54,58,39,39,47,39,31,33,37,30,30,32,30,30,30,30,31,31,30,30,31,30,32,52,35,34,37,37,32,34,42,33,35,35,31,31,31,30,38,30,31,33,38,30,30,30,30,30,30,30,30,31,30,30,33,32,32,32,33,34,30,32,30,31,30,30,31,32,33,30,30,30,30,30
26,28,30,49,43,36,32,31,26,26,26,30,29,28,27,33,33,41,29,1,25,50,54,35,35,43,35,27,29,33,26,26,28,26,26,26,26,27,27,26,26,27,26,28,48,31,30,33,33,28,30,38,29,31,31,27,27,27,26,34,26,27,29,34,26,26,26,26,26,26,26,26,27,26,26,29,28,28,28,29,30,26,28,26,27,26,26,27,28,29,26,26,26,26,26
16,18,20,42,36,27,23,22,16,16,16,20,19,18,17,30,30,38,29,25,1,44,48,29,28,37,28,19,22,23,16,16,18,16,16,16,16,17,17,16,16,17,16,18,41,22,22,25,25,20,22,34,21,25,23,19,20,18,16,25,16,17,19,24,16,16,16,16,16,16,16,16,17,16,16,19,18,18,18,19,21,16,18,16,17,16,16,17,18,19,16,16,16,16,16
32,34,36,57,51,42,38,37,32,32,32,36,35,34,33,50,49,55,54,50,44,1,39,31,44,52,43,34,38,39,32,32,34,32,32,32,32,33,33,32,32,33,32,34,56,38,37,40,40,35,37,48,36,39,38,34,34,34,32,40,32,33,35,40,32,32,32,32,32,32,32,32,33,32,32,35,34,34,34,35,37,32,34,32,33,32,32,33,34,35,32,32,32,32,32
36,38,40,61,55,46,42,41,36,36,36,40,39,38,37,54,53,60,58,54,48,39,1,35,48,56,47,38,42,43,36,36,38,36,36,36,36,37,37,36,36,37,36,38,60,42,41,44,44,39,41,52,40,43,42,38,38,38,36,44,36,37,39,44,36,36,36,36,36,36,36,36,37,36,36,39,38,38,38,39,41,36,38,36,37,36,36,37,38,39,36,36,36,36,36
17,19,21,42,36,27,23,22,17,17,17,21,20,19,18,35,34,42,39,35,29,31,35,1,29,37,28,19,23,24,17,17,19,17,17,17,17,18,18,17,17,18,17,19,41,23,22,25,25,20,22,33,21,24,23,19,19,19,17,25,17,18,20,25,17,17,17,17,17,17,17,17,18,17,17,20,19,19,19,20,22,17,19,17,18,17,17,18,19,20,17,17,17,17,17
15,17,19,37,31,23,19,18,15,15,15,19,18,17,16,36,35,42,39,35,28,44,48,29,1,24,19,14,14,22,15,15,17,15,15,15,15,16,16,15,15,16,15,17,34,21,20,23,23,18,20,26,19,20,21,17,17,16,15,24,15,15,17,23,15,15,15,15,15,15,15,15,16,15,15,18,17,17,17,18,19,15,17,15,16,15,15,16,17,18,15,15,15,15,15
23,25,26,43,38,30,26,25,23,23,23,27,26,25,24,44,43,49,47,43,37,52,56,37,24,1,24,22,23,30,23,23,25,23,23,23,23,24,24,23,23,24,23,25,41,29,26,30,30,25,27,30,25,26,28,24,24,24,23,32,23,23,26,31,23,23,23,23,23,23,23,23,24,23,23,26,25,25,25,26,26,23,25,23,24,23,23,24,25,25,23,23,23,23,23
14,16,18,38,33,24,20,19,14,14,14,18,17,16,15,37,36,43,39,35,28,43,47,28,19,24,1,16,15,21,14,14,16,14,14,14,14,15,15,14,14,15,14,16,36,20,18,22,22,17,19,25,17,20,20,16,16,16,14,23,14,14,16,22,14,14,14,14,14,14,14,14,15,14,14,17,16,16,16,17,19,14,16,14,15,14,14,15,16,16,14,14,14,14,14
5,7,9,27,21,13,9,8,5,5,5,9,8,7,6,26,25,33,31,27,19,34,38,19,14,22,16,1,10,12,5,5,7,5,5,5,5,6,6,5,5,6,5,7,26,11,10,13,13,8,10,19,9,10,11,7,7,6,5,14,5,6,8,13,5,5,5,5,5,5,5,5,6,5,5,8,7,7,7,8,9,5,7,5,6,5,5,6,7,8,5,5,5,5,5
9,11,13,33,27,19,15,14,9,9,9,13,12,11,10,31,30,38,33,29,22,38,42,23,14,23,15,10,1,16,9,9,11,9,9,9,9,10,10,9,9,10,9,11,30,15,14,17,17,12,14,22,13,16,15,11,11,10,9,18,9,9,12,17,9,9,9,9,9,9,9,9,10,9,9,12,11,11,11,12,13,9,11,9,10,9,9,10,11,12,9,9,9,9,9
9,11,13,35,29,20,16,15,9,9,9,13,12,11,10,33,32,40,37,33,23,39,43,24,22,30,21,12,16,1,9,9,11,9,9,9,9,10,10,9,9,10,9,11,34,15,15,18,18,13,15,27,14,18,16,12,13,11,9,18,9,10,12,17,9,9,9,9,9,9,9,9,10,9,9,12,11,11,11,12,14,9,11,9,10,9,9,10,11,12,9,9,9,9,9
2,4,6,28,22,13,9,8,2,2,2,6,5,4,3,26,25,33,30,26,16,32,36,17,15,23,14,5,9,9,1,1,4,2,2,2,2,3,3,2,2,3,2,4,27,8,8,11,11,6,8,20,7,11,9,5,6,4,2,11,2,3,5,10,2,2,2,2,2,2,2,2,3,2,2,5,4,4,4,5,7,2,4,2,3,2,2,3,4,5,2,2,2,2,2
2,4,6,28,22,13,9,8,2,2,2,6,5,4,3,26,25,33,30,26,16,32,36,17,15,23,14,5,9,9,1,1,4,2,2,2,2,3,3,2,2,3,2,4,27,8,8,11,11,6,8,20,7,11,9,5,6,4,2,11,2,3,5,10,2,2,2,2,2,2,2,2,3,2,2,5,4,4,4,5,7,2,4,2,3,2,2,3,4,5,2,2,2,2,2
4,6,8,30,24,15,11,10,4,4,4,8,7,6,5,28,27,35,32,28,18,34,38,19,17,25,16,7,11,11,4,4,1,4,4,4,4,5,5,4,4,5,4,6,29,10,10,13,13,8,10,22,9,13,11,7,8,6,4,13,4,5,7,12,4,4,4,4,4,4,4,4,5,4,4,7,6,6,6,7,9,4,6,4,5,4,4,5,6,7,4,4,4,4,4
2,4,6,28,22,13,9,8,2,2,2,6,5,4,3,26,25,33,30,26,16,32,36,17,15,23,14,5,9,9,2,2,4,1,2,2,2,3,3,2,2,3,2,4,26,8,8,11,11,6,8,20,7,11,9,5,6,4,2,11,2,3,5,10,2,2,2,2,2,2,2,2,3,2,2,5,4,4,4,5,7,2,4,2,3,2,2,3,4,5,2,2,2,2,2
2,4,6,28,22,13,9,8,2,2,2,6,5,4,3,26,25,33,30,26,16,32,36,17,15,23,14,5,9,9,2,2,4,2,1,2,2,3,3,2,2,3,2,4,27,8,8,11,11,6,8,20,7,11,9,5,6,4,2,11,2,3,5,10,2,2,2,2,2,2,2,2,3,2,2,5,4,4,4,5,7,2,4,2,3,2,2,3,4,5,2,2,2,2,2
1,4,6,28,22,13,9,8,2,2,2,5,4,3,2,26,25,33,30,26,16,32,36,17,15,23,14,5,9,9,2,2,4,2,2,1,2,3,3,2,2,3,2,4,27,8,8,11,11,6,8,20,7,11,9,5,6,4,2,10,2,3,5,10,1,1,1,1,1,2,2,2,3,2,2,5,4,4,4,5,7,2,3,2,3,2,2,3,4,5,2,2,2,2,1
2,4,6,28,22,13,9,8,2,2,2,6,5,4,3,26,25,33,30,26,16,32,36,17,15,23,14,5,9,9,2,2,4,2,2,2,1,2,2,1,1,2,1,3,27,8,8,11,11,6,8,20,7,11,9,5,6,4,2,11,2,3,5,10,2,2,2,2,2,2,2,2,3,2,2,5,4,4,4,5,7,2,4,2,3,2,2,3,4,5,2,2,2,2,2
3,5,7,29,23,14,10,9,3,3,3,7,6,5,4,27,26,34,31,27,17,33,37,18,16,24,15,6,10,10,3,3,5,3,3,3,2,1,2,2,2,2,2,3,28,9,9,12,12,7,9,21,8,12,10,6,7,5,3,12,3,4,6,11,3,3,3,3,3,3,3,3,4,3,3,6,5,5,5,6,8,3,5,3,4,3,3,4,5,6,3,3,3,3,3
3,5,7,29,23,14,10,9,3,3,3,7,6,5,4,27,26,34,31,27,17,33,37,18,16,24,15,6,10,10,3,3,5,3,3,3,2,2,1,2,2,2,2,3,28,9,9,12,12,7,9,21,8,12,10,6,7,5,3,12,3,4,6,11,3,3,3,3,3,3,3,3,4,3,3,6,5,5,5,6,8,3,5,3,4,3,3,4,5,6,3,3,3,3,3
2,4,6,28,22,13,9,8,2,2,2,6,5,4,3,26,25,33,30,26,16,32,36,17,15,23,14,5,9,9,2,2,4,2,2,2,1,2,2,1,1,2,1,3,27,8,8,11,11,6,8,20,7,11,9,5,6,4,2,11,2,3,5,10,2,2,2,2,2,2,2,2,3,2,2,5,4,4,4,5,7,2,4,2,3,2,2,3,4,5,2,2,2,2,2
2,4,6,28,22,13,9,8,2,2,2,6,5,4,3,26,25,33,30,26,16,32,36,17,15,23,14,5,9,9,2,2,4,2,2,2,1,2,2,1,1,2,1,3,27,8,8,11,11,6,8,20,7,11,9,5,6,4,2,11,2,3,5,10,2,2,2,2,2,2,2,2,3,2,2,5,4,4,4,5,7,2,4,2,3,2,2,3,4,5,2,2,2,2,2
3,5,7,29,23,14,10,9,3,3,3,7,6,5,4,27,26,34,31,27,17,33,37,18,16,24,15,6,10,10,3,3,5,3,3,3,2,2,2,2,2,1,2,3,28,9,9,12,12,7,9,21,8,12,10,6,7,5,3,12,3,4,6,11,3,3,3,3,3,3,3,3,4,3,3,6,5,5,5,6,8,3,5,3,4,3,3,4,5,6,3,3,3,3,3
2,4,6,28,22,13,9,8,2,2,2,6,5,4,3,26,25,33,30,26,16,32,36,17,15,23,14,5,9,9,2,2,4,2,2,2,1,2,2,1,1,2,1,3,27,8,8,11,11,6,8,20,7,11,9,5,6,4,2,11,2,3,5,10,2,2,2,2,2,2,2,2,3,2,2,5,4,4,4,5,7,2,4,2,3,2,2,3,4,5,2,2,2,2,2
4,6,8,30,24,15,11,10,4,4,4,8,7,6,5,28,27,35,32,28,18,34,38,19,17,25,16,7,11,11,4,4,6,4,4,4,3,3,3,3,3,3,3,1,29,10,10,13,13,8,10,22,9,13,11,7,8,6,4,13,4,5,7,12,4,4,4,4,4,4,4,4,5,4,4,7,6,6,6,7,9,4,6,4,5,4,4,5,6,7,4,4,4,4,4
27,28,27,46,41,33,30,29,27,27,27,31,30,29,28,47,46,52,52,48,41,56,60,41,34,41,36,26,30,34,27,27,29,26,27,27,27,28,28,27,27,28,27,29,1,32,32,35,35,30,32,38,31,32,33,29,29,28,27,36,27,28,30,35,27,27,27,27,27,27,27,27,27,27,26,30,29,29,29,30,27,27,29,27,28,27,27,28,29,30,27,27,27,27,27
